sku;name;price;iva;url;image_url;categories;marca;description;LIBRO+B90+B96+B116+B189+B209+B90;urlDescarga;tipo
1196342;PC Watch Dogs DEDSEC - Edtition;89,99;21;https://www.mediamarkt.es/es/product/_pc-watch-dogs-dedsec-edtition-1196342.html;https://picscdn.redblue.de/doi/pixelboxx-mss-66076872/fee_325_225_png;Informática > Gaming > Juegos PC;UBISOFT ENTERTAIMENT S.A(SOFT);WATCH DOGS (DEDSEC ED.);1199962582;https://www.mediamarkt.es/es/product/getProducto.php?sku=1196342;VIDEOJUEGO
1275704;Pc Baldur'S Gate Ii - EnhancedEdition;19,99;21;https://www.mediamarkt.es/es/product/_pc-baldur-s-gate-ii-enhancededition-1275704.html;https://picscdn.redblue.de/doi/pixelboxx-mss-78729709/fee_325_225_png;Informática > Gaming > Juegos PC;BEAMDOG/DEEP SILVER;<p>Juego PC</p>;2763365622;https://www.mediamarkt.es/es/product/getProducto.php?sku=1275704;VIDEOJUEGO
1177458;PC Sim City;11,96;21;https://www.mediamarkt.es/es/product/_pc-sim-city-1177458.html;https://picscdn.redblue.de/doi/pixelboxx-mss-55624752/fee_325_225_png;Informática > Gaming > Juegos PC;EA;<p>Juego PC</p>;2048546198;https://www.mediamarkt.es/es/product/getProducto.php?sku=1177458;VIDEOJUEGO
1277257;Meridien Dungeons Ii Limited Special Edition- Wii U;35,99;21;https://www.mediamarkt.es/es/product/_meridien-dungeons-ii-limited-special-edition-wii-u-1277257.html;https://picscdn.redblue.de/doi/pixelboxx-mss-73129090/fee_325_225_png;Informática > Gaming > Juegos PC;MERIDIEN;PC Game;2680351029;https://www.mediamarkt.es/es/product/getProducto.php?sku=1277257;VIDEOJUEGO
1310024;PC Rise of the Tomb Raider - Edición Coleccionista;129;21;https://www.mediamarkt.es/es/product/_pc-rise-of-the-tomb-raider-edición-coleccionista-1310024.html;https://picscdn.redblue.de/doi/pixelboxx-mss-79202525/fee_325_225_png;Informática > Gaming > Juegos PC;SQUAREENIX;<p>Juego PC</p>;2907560283;https://www.mediamarkt.es/es/product/getProducto.php?sku=1310024;VIDEOJUEGO
1199181;PC Pro Cycling Manager - Tour de France 2013;35,99;21;https://www.mediamarkt.es/es/product/_pc-pro-cycling-manager-tour-de-france-2013-1199181.html;https://picscdn.redblue.de/doi/pixelboxx-mss-58059204/fee_325_225_png;Informática > Gaming > Juegos PC;BADLAND;"Juego PC<br type=_moz"" />""";1779343435;https://www.mediamarkt.es/es/product/getProducto.php?sku=1199181;VIDEOJUEGO
1308058;PC Zombi;11,99;21;https://www.mediamarkt.es/es/product/_pc-zombi-1308058.html;https://picscdn.redblue.de/doi/pixelboxx-mss-79161897/fee_325_225_png;Informática > Gaming > Juegos PC;UBISOFT;<p>Juego PC</p>;1683033629;https://www.mediamarkt.es/es/product/getProducto.php?sku=1308058;VIDEOJUEGO
1320328;PC Adam's Venture: Origins;29,99;21;https://www.mediamarkt.es/es/product/_pc-adam-s-venture-origins-1320328.html;https://picscdn.redblue.de/doi/pixelboxx-mss-78999484/fee_325_225_png;Informática > Gaming > Juegos PC;SOEDESCO;<p>Juego PC</p>;1345246337;https://www.mediamarkt.es/es/product/getProducto.php?sku=1320328;VIDEOJUEGO
1345577;Tyranny - Commander Edition - Juego PC;40,99;21;https://www.mediamarkt.es/es/product/_tyranny-commander-edition-juego-pc-1345577.html;https://picscdn.redblue.de/doi/pixelboxx-mss-79297549/fee_325_225_png;Informática > Gaming > Juegos PC;MERIDIEN;<p>Juego PC</p>;2950865605;https://www.mediamarkt.es/es/product/getProducto.php?sku=1345577;VIDEOJUEGO
1285761;PC FIFA 16;24,99;21;https://www.mediamarkt.es/es/product/_pc-fifa-16-1285761.html;https://picscdn.redblue.de/doi/pixelboxx-mss-69260866/fee_325_225_png;Informática > Gaming > Juegos PC;ELECTRONIC ARTS;<p>Juego PC</p>;2623110804;https://www.mediamarkt.es/es/product/getProducto.php?sku=1285761;VIDEOJUEGO
1338304;The Dwarves - Juego PC;33,99;21;https://www.mediamarkt.es/es/product/_the-dwarves-juego-pc-1338304.html;https://picscdn.redblue.de/doi/pixelboxx-mss-78999586/fee_325_225_png;Informática > Gaming > Juegos PC;BADLAND (SOFT);<p>Juego PC</p>;1485415704;https://www.mediamarkt.es/es/product/getProducto.php?sku=1338304;VIDEOJUEGO
9282670;DESCATALOGADO PC StarCraft I;18,99;21;https://www.mediamarkt.es/es/product/_descatalogado-pc-starcraft-i-9282670.html;https://picscdn.redblue.de/doi/pixelboxx-mss-61176861/fee_325_225_png;Informática > Gaming > Juegos PC;BLIZZARD;STARCRAFT II;1732101434;https://www.mediamarkt.es/es/product/getProducto.php?sku=9282670;VIDEOJUEGO
1365223;Bandai Project Cars 2 Edición Coleccionista;134;21;https://www.mediamarkt.es/es/product/_bandai-project-cars-2-edición-coleccionista-1365223.html;https://picscdn.redblue.de/doi/pixelboxx-mss-78713993/fee_325_225_png;Informática > Gaming > Juegos PC;BANDAI;PC Game;1312008392;https://www.mediamarkt.es/es/product/getProducto.php?sku=1365223;VIDEOJUEGO
1313752;PC Ziggurat;9,99;21;https://www.mediamarkt.es/es/product/_pc-ziggurat-1313752.html;https://picscdn.redblue.de/doi/pixelboxx-mss-79164283/fee_325_225_png;Informática > Gaming > Juegos PC;SOEDESCO;<p>Juego PC</p>;2436356493;https://www.mediamarkt.es/es/product/getProducto.php?sku=1313752;VIDEOJUEGO
